ESTABILIZADOR MARCA;Nº DE SERIE;ENVIO DO CHAMADO;DATA DE ABERTURA;LOCAL DA RETIRADA;STATUS
APC 300W;5844320301;;07/08/2026;;CHAMADO ABERTO
APC 300W;6076700450;;07/08/2026;;CHAMADO ABERTO
APC 300W;583941016x;;07/08/2026;;CHAMADO ABERTO
APC 300W;5863760581;;07/08/2026;;CHAMADO ABERTO
APC 300W;6035750025;;07/08/2026;;CHAMADO ABERTO
