DESCRIÇÃO;PATRIMÔNIO Nº;LOCAL DA RETIRADA;STATUS;ENVIO DO CHAMADO;DATA DE ABERTURA;LOCAL
AOC;HND4AIA004128;;CHAMADO ABERTO;;07/08/2026;
AOC;KCYG7XA002287;;CHAMADO ABERTO;;07/08/2026;
AOC;KCYG7XA002311;;CHAMADO ABERTO;;07/08/2026;
AOC;KCYG7XA002407;;CHAMADO ABERTO;;07/08/2026;
AOC;HND4AIA004091;;CHAMADO ABERTO;;07/08/2026;
AOC;KCYG8XA018058;;CHAMADO ABERTO;;07/08/2026;
LG;204PNY0R255;;CHAMADO ABERTO;;07/08/2026;
LG;204SPNY0P967;;CHAMADO ABERTO;;07/08/2026;
